Sheet,Carrier,CurrWeekDepartures,PrevWeekDepartures,DepartureDiff,DepartureDiffPct,Buses.x,Passengers,Buses 2019,Passenger 2019,Load_Factor,Avg_Temp_F,Min_Temp_F,Max_Temp_F,Precip_mm,Snow_mm,Avg_RH_Pct,Avg_Wind_mph,Peak_Gust_mph,Avg_Visibility_mi,Sunny_Hours,Severe_Weather_Flag,HDD_Base65,CDD_Base65,Storm_Count,Holiday_Week.x,Total_Volume,Passenger_Cars,Trucks,Buses.y,Avg_Speed_mph,Incidents,Weather_Impact_Index,Peak_Hour_Volume,Pct_Heavy_Vehicles,Pct_Buses,Holiday_Week.y,WeekStartDate
Jan 25-29,Academy,35,36,-1,-0.027777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Greyhound,33,34,-1,-0.029411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Martz,13,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,NJ Transit,2052,2033,19,0.009345794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Lakeland,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Trailways,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Coach USA,84,84,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,TransBridge,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,Peter Pan/Bonanza,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Jan 25-29,HCEE - Community,76,76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/01/21
Feb 1-5,Academy,35,35,0,0,35,569,113,4152,16.25714286,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Greyhound,36,33,3,0.090909091,36,996,118,3262,27.66666667,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Martz,13,13,0,0,13,444,47,1771,34.15384615,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,NJ Transit,2071,2052,19,0.009259259,2071,25001,2500,86541,12.07194592,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Lakeland,12,12,0,0,12,272,75,2819,22.66666667,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Trailways,10,10,0,0,10,221,35,752,22.1,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Coach USA,84,84,0,0,84,1533,460,14129,18.25,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
